yourlist:M20180831A7434721E10EE6586998A056CCD0537EA81BDB8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
RL3_HUMAN	P39023	RL3_HUMAN	reviewed	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)	RPL3 OK/SW-cl.32	Homo sapiens (Human)	403
RL31_HUMAN	P62899	RL31_HUMAN	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31	Homo sapiens (Human)	125
RL34_HUMAN	P49207	RL34_HUMAN	reviewed	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	RPL34	Homo sapiens (Human)	117
RL35_HUMAN	P42766	RL35_HUMAN	reviewed	60S ribosomal protein L35 (Large ribosomal subunit protein uL29)	RPL35	Homo sapiens (Human)	123
RL4_HUMAN	P36578	RL4_HUMAN	reviewed	60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)	RPL4 RPL1	Homo sapiens (Human)	427
RL5_HUMAN	P46777	RL5_HUMAN	reviewed	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	RPL5 MSTP030	Homo sapiens (Human)	297
RL6_HUMAN	Q02878	RL6_HUMAN	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1	Homo sapiens (Human)	288
RL7_HUMAN	P18124	RL7_HUMAN	reviewed	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	RPL7	Homo sapiens (Human)	248
RL7A_HUMAN	P62424	RL7A_HUMAN	reviewed	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266
RL7L_HUMAN	Q6DKI1	RL7L_HUMAN	reviewed	60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1)	RPL7L1	Homo sapiens (Human)	246
RL8_HUMAN	P62917	RL8_HUMAN	reviewed	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8	Homo sapiens (Human)	257
RLA0_HUMAN	P05388	RLA0_HUMAN	reviewed	60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10)	RPLP0	Homo sapiens (Human)	317
RS10_HUMAN	P46783	RS10_HUMAN	reviewed	40S ribosomal protein S10 (Small ribosomal subunit protein eS10)	RPS10	Homo sapiens (Human)	165
RS11_HUMAN	P62280	RS11_HUMAN	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	158
RS13_HUMAN	P62277	RS13_HUMAN	reviewed	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	RPS13	Homo sapiens (Human)	151
RS14_HUMAN	P62263	RS14_HUMAN	reviewed	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	RPS14 PRO2640	Homo sapiens (Human)	151
RS15_HUMAN	P62841	RS15_HUMAN	reviewed	40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)	RPS15 RIG	Homo sapiens (Human)	145
RS16_HUMAN	P62249	RS16_HUMAN	reviewed	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	RPS16	Homo sapiens (Human)	146
RS18_HUMAN	P62269	RS18_HUMAN	reviewed	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E	Homo sapiens (Human)	152
RS19_HUMAN	P39019	RS19_HUMAN	reviewed	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	RPS19	Homo sapiens (Human)	145
RS2_HUMAN	P15880	RS2_HUMAN	reviewed	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)	RPS2 RPS4	Homo sapiens (Human)	293
RS20_HUMAN	P60866	RS20_HUMAN	reviewed	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	RPS20	Homo sapiens (Human)	119
RS23_HUMAN	P62266	RS23_HUMAN	reviewed	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	RPS23	Homo sapiens (Human)	143
RS24_HUMAN	P62847	RS24_HUMAN	reviewed	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	RPS24	Homo sapiens (Human)	133
RS25_HUMAN	P62851	RS25_HUMAN	reviewed	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	RPS25	Homo sapiens (Human)	125
RS26_HUMAN	P62854	RS26_HUMAN	reviewed	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	RPS26	Homo sapiens (Human)	115
RS27L_HUMAN	Q71UM5	RS27L_HUMAN	reviewed	40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)	RPS27L	Homo sapiens (Human)	84
RS28_HUMAN	P62857	RS28_HUMAN	reviewed	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28	Homo sapiens (Human)	69
RS3_HUMAN	P23396	RS3_HUMAN	reviewed	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243
RS3A_HUMAN	P61247	RS3A_HUMAN	reviewed	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264
RS4X_HUMAN	P62701	RS4X_HUMAN	reviewed	40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)	263
RS5_HUMAN	P46782	RS5_HUMAN	reviewed	40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]	RPS5	Homo sapiens (Human)	204
RS6_HUMAN	P62753	RS6_HUMAN	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
RS7_HUMAN	P62081	RS7_HUMAN	reviewed	40S ribosomal protein S7 (Small ribosomal subunit protein eS7)	RPS7	Homo sapiens (Human)	194
RS8_HUMAN	P62241	RS8_HUMAN	reviewed	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	RPS8 OK/SW-cl.83	Homo sapiens (Human)	208
RS9_HUMAN	P46781	RS9_HUMAN	reviewed	40S ribosomal protein S9 (Small ribosomal subunit protein uS4)	RPS9	Homo sapiens (Human)	194
RSSA_HUMAN	P08865	RSSA_HUMAN	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1	Homo sapiens (Human)	295
RRBP1_HUMAN	Q9P2E9	RRBP1_HUMAN	reviewed	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)	RRBP1 KIAA1398	Homo sapiens (Human)	1410
RRP12_HUMAN	Q5JTH9	RRP12_HUMAN	reviewed	RRP12-like protein	RRP12 KIAA0690	Homo sapiens (Human)	1297
RL1D1_HUMAN	O76021	RL1D1_HUMAN	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	490
RTF1_HUMAN	Q92541	RTF1_HUMAN	reviewed	RNA polymerase-associated protein RTF1 homolog	RTF1 KIAA0252	Homo sapiens (Human)	710
SAFB1_HUMAN	Q15424	SAFB1_HUMAN	reviewed	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	SAFB HAP HET SAFB1	Homo sapiens (Human)	915
SCRB2_HUMAN	Q14108	SCRB2_HUMAN	reviewed	Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)	SCARB2 CD36L2 LIMP2 LIMPII	Homo sapiens (Human)	478
SDC4_HUMAN	P31431	SDC4_HUMAN	reviewed	Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein)	SDC4	Homo sapiens (Human)	198
SC22B_HUMAN	O75396	SC22B_HUMAN	reviewed	Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1)	SEC22B SEC22L1	Homo sapiens (Human)	215
SC24C_HUMAN	P53992	SC24C_HUMAN	reviewed	Protein transport protein Sec24C (SEC24-related protein C)	SEC24C KIAA0079	Homo sapiens (Human)	1094
SC31A_HUMAN	O94979	SC31A_HUMAN	reviewed	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)	1220
SEC62_HUMAN	Q99442	SEC62_HUMAN	reviewed	Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1)	SEC62 TLOC1	Homo sapiens (Human)	399
PAIRB_HUMAN	Q8NC51	PAIRB_HUMAN	reviewed	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	SERBP1 PAIRBP1 CGI-55	Homo sapiens (Human)	408
SET_HUMAN	Q01105	SET_HUMAN	reviewed	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290
SF01_HUMAN	Q15637	SF01_HUMAN	reviewed	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	SF1 ZFM1 ZNF162	Homo sapiens (Human)	639
SF3A1_HUMAN	Q15459	SF3A1_HUMAN	reviewed	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	SF3A1 SAP114	Homo sapiens (Human)	793
SF3A3_HUMAN	Q12874	SF3A3_HUMAN	reviewed	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61	Homo sapiens (Human)	501
SF3B1_HUMAN	O75533	SF3B1_HUMAN	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	SF3B1 SAP155	Homo sapiens (Human)	1304
SF3B3_HUMAN	Q15393	SF3B3_HUMAN	reviewed	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)	SF3B3 KIAA0017 SAP130	Homo sapiens (Human)	1217
SF3B4_HUMAN	Q15427	SF3B4_HUMAN	reviewed	Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)	SF3B4 SAP49	Homo sapiens (Human)	424
SF3B6_HUMAN	Q9Y3B4	SF3B6_HUMAN	reviewed	Splicing factor 3B subunit 6 (Pre-mRNA branch site protein p14) (SF3b 14 kDa subunit) (SF3B14a) (Spliceosome-associated protein, 14-kDa) (Splicing factor 3b, subunit 6, 14kDa)	SF3B6 SAP14 SF3B14 SF3B14A CGI-110 HSPC175 HT006	Homo sapiens (Human)	125
SFPQ_HUMAN	P23246	SFPQ_HUMAN	reviewed	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ PSF	Homo sapiens (Human)	707
4F2_HUMAN	P08195	4F2_HUMAN	reviewed	4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	SLC3A2 MDU1	Homo sapiens (Human)	630
SLIRP_HUMAN	Q9GZT3	SLIRP_HUMAN	reviewed	SRA stem-loop-interacting RNA-binding protein, mitochondrial	SLIRP C14orf156 DC23 DC50 PD04872	Homo sapiens (Human)	109
SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	reviewed	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1)	SMCHD1 KIAA0650	Homo sapiens (Human)	2005
SND1_HUMAN	Q7KZF4	SND1_HUMAN	reviewed	Staphylococcal nuclease domain-containing protein 1 (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	SND1 TDRD11	Homo sapiens (Human)	910
U520_HUMAN	O75643	U520_HUMAN	reviewed	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	SNRNP200 ASCC3L1 HELIC2 KIAA0788	Homo sapiens (Human)	2136
RU17_HUMAN	P08621	RU17_HUMAN	reviewed	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	Homo sapiens (Human)	437
SNRPA_HUMAN	P09012	SNRPA_HUMAN	reviewed	U1 small nuclear ribonucleoprotein A (U1 snRNP A) (U1-A) (U1A)	SNRPA	Homo sapiens (Human)	282
RSMB_HUMAN	P14678	RSMB_HUMAN	reviewed	Small nuclear ribonucleoprotein-associated proteins B and B' (snRNP-B) (Sm protein B/B') (Sm-B/B') (SmB/B')	SNRPB COD SNRPB1	Homo sapiens (Human)	240
SMD3_HUMAN	P62318	SMD3_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SNRPD3	Homo sapiens (Human)	126
SNW1_HUMAN	Q13573	SNW1_HUMAN	reviewed	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	SNW1 SKIIP SKIP	Homo sapiens (Human)	536
SON_HUMAN	P18583	SON_HUMAN	reviewed	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)	SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312	Homo sapiens (Human)	2426
SPAG5_HUMAN	Q96R06	SPAG5_HUMAN	reviewed	Sperm-associated antigen 5 (Astrin) (Deepest) (Mitotic spindle-associated protein p126) (MAP126)	SPAG5	Homo sapiens (Human)	1193
SPS2L_HUMAN	Q9NUQ6	SPS2L_HUMAN	reviewed	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	SPATS2L DNAPTP6 SP1224	Homo sapiens (Human)	558
SPTB2_HUMAN	Q01082	SPTB2_HUMAN	reviewed	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)	2364
SQSTM_HUMAN	Q13501	SQSTM_HUMAN	reviewed	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	SQSTM1 ORCA OSIL	Homo sapiens (Human)	440
SREK1_HUMAN	Q8WXA9	SREK1_HUMAN	reviewed	Splicing regulatory glutamine/lysine-rich protein 1 (Serine/arginine-rich-splicing regulatory protein 86) (SRrp86) (Splicing factor, arginine/serine-rich 12) (Splicing regulatory protein 508) (SRrp508)	SREK1 SFRS12 SRRP86	Homo sapiens (Human)	508
SRP72_HUMAN	O76094	SRP72_HUMAN	reviewed	Signal recognition particle subunit SRP72 (SRP72) (Signal recognition particle 72 kDa protein)	SRP72	Homo sapiens (Human)	671
SRSF1_HUMAN	Q07955	SRSF1_HUMAN	reviewed	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3	Homo sapiens (Human)	248
SRS10_HUMAN	O75494	SRS10_HUMAN	reviewed	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
SRS11_HUMAN	Q05519	SRS11_HUMAN	reviewed	Serine/arginine-rich splicing factor 11 (Arginine-rich 54 kDa nuclear protein) (p54) (Splicing factor, arginine/serine-rich 11)	SRSF11 SFRS11	Homo sapiens (Human)	484
SRSF2_HUMAN	Q01130	SRSF2_HUMAN	reviewed	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	SRSF2 SFRS2	Homo sapiens (Human)	221
SRSF3_HUMAN	P84103	SRSF3_HUMAN	reviewed	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	SRSF3 SFRS3 SRP20	Homo sapiens (Human)	164
SRSF4_HUMAN	Q08170	SRSF4_HUMAN	reviewed	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	Homo sapiens (Human)	494
SRSF5_HUMAN	Q13243	SRSF5_HUMAN	reviewed	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	SRSF5 HRS SFRS5 SRP40	Homo sapiens (Human)	272
SRSF6_HUMAN	Q13247	SRSF6_HUMAN	reviewed	Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)	SRSF6 SFRS6 SRP55	Homo sapiens (Human)	344
SRSF7_HUMAN	Q16629	SRSF7_HUMAN	reviewed	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	SRSF7 SFRS7	Homo sapiens (Human)	238
SRSF9_HUMAN	Q13242	SRSF9_HUMAN	reviewed	Serine/arginine-rich splicing factor 9 (Pre-mRNA-splicing factor SRp30C) (Splicing factor, arginine/serine-rich 9)	SRSF9 SFRS9 SRP30C	Homo sapiens (Human)	221
LA_HUMAN	P05455	LA_HUMAN	reviewed	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)	SSB	Homo sapiens (Human)	408
SSBP_HUMAN	Q04837	SSBP_HUMAN	reviewed	Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)	SSBP1 SSBP	Homo sapiens (Human)	148
SSRP1_HUMAN	Q08945	SSRP1_HUMAN	reviewed	FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)	SSRP1 FACT80	Homo sapiens (Human)	709
STAU1_HUMAN	O95793	STAU1_HUMAN	reviewed	Double-stranded RNA-binding protein Staufen homolog 1	STAU1 STAU	Homo sapiens (Human)	577
STAU2_HUMAN	Q9NUL3	STAU2_HUMAN	reviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	570
SUGP2_HUMAN	Q8IX01	SUGP2_HUMAN	reviewed	SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)	SUGP2 KIAA0365 SFRS14	Homo sapiens (Human)	1082
SUMO4_HUMAN	Q6EEV6	SUMO4_HUMAN	reviewed	Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4)	SUMO4 SMT3H4	Homo sapiens (Human)	95
HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	623
SYPL1_HUMAN	Q16563	SYPL1_HUMAN	reviewed	Synaptophysin-like protein 1 (Pantophysin)	SYPL1 SYPL	Homo sapiens (Human)	259
RBP56_HUMAN	Q92804	RBP56_HUMAN	reviewed	TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor) (TAF(II)68) (TAFII68) (RNA-binding protein 56)	TAF15 RBP56 TAF2N	Homo sapiens (Human)	592
TAGL2_HUMAN	P37802	TAGL2_HUMAN	reviewed	Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog)	TAGLN2 KIAA0120 CDABP0035	Homo sapiens (Human)	199
TADBP_HUMAN	Q13148	TADBP_HUMAN	reviewed	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	Homo sapiens (Human)	414
SYTC_HUMAN	P26639	SYTC_HUMAN	reviewed	Threonine--tRNA ligase, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	TARS	Homo sapiens (Human)	723
TBL3_HUMAN	Q12788	TBL3_HUMAN	reviewed	Transducin beta-like protein 3 (WD repeat-containing protein SAZD)	TBL3 SAZD	Homo sapiens (Human)	808
TCPA_HUMAN	P17987	TCPA_HUMAN	reviewed	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	TCP1 CCT1 CCTA	Homo sapiens (Human)	556
TFR1_HUMAN	P02786	TFR1_HUMAN	reviewed	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	TFRC	Homo sapiens (Human)	760
TGM2_HUMAN	P21980	TGM2_HUMAN	reviewed	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Tissue transglutaminase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase-2) (TGase-2)	TGM2	Homo sapiens (Human)	687
TGON2_HUMAN	O43493	TGON2_HUMAN	reviewed	Trans-Golgi network integral membrane protein 2 (TGN38 homolog) (TGN46) (TGN48) (Trans-Golgi network protein TGN51)	TGOLN2 TGN46 TGN51	Homo sapiens (Human)	479
TSP1_HUMAN	P07996	TSP1_HUMAN	reviewed	Thrombospondin-1 (Glycoprotein G)	THBS1 TSP TSP1	Homo sapiens (Human)	1170
TR150_HUMAN	Q9Y2W1	TR150_HUMAN	reviewed	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	THRAP3 BCLAF2 TRAP150	Homo sapiens (Human)	955
THY1_HUMAN	P04216	THY1_HUMAN	reviewed	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)	THY1	Homo sapiens (Human)	161
TIA1_HUMAN	P31483	TIA1_HUMAN	reviewed	Nucleolysin TIA-1 isoform p40 (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1) (p40-TIA-1)	TIA1	Homo sapiens (Human)	386
TIAR_HUMAN	Q01085	TIAR_HUMAN	reviewed	Nucleolysin TIAR (TIA-1-related protein)	TIAL1	Homo sapiens (Human)	375
TKT_HUMAN	P29401	TKT_HUMAN	reviewed	Transketolase (TK) (EC 2.2.1.1)	TKT	Homo sapiens (Human)	623
TLN1_HUMAN	Q9Y490	TLN1_HUMAN	reviewed	Talin-1	TLN1 KIAA1027 TLN	Homo sapiens (Human)	2541
TMX1_HUMAN	Q9H3N1	TMX1_HUMAN	reviewed	Thioredoxin-related transmembrane protein 1 (Thioredoxin domain-containing protein 1) (Transmembrane Trx-related protein)	TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268	Homo sapiens (Human)	280
TENA_HUMAN	P24821	TENA_HUMAN	reviewed	Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)	TNC HXB	Homo sapiens (Human)	2201
TNPO1_HUMAN	Q92973	TNPO1_HUMAN	reviewed	Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP)	TNPO1 KPNB2 MIP1 TRN	Homo sapiens (Human)	898
TOP1_HUMAN	P11387	TOP1_HUMAN	reviewed	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
TOP2B_HUMAN	Q02880	TOP2B_HUMAN	reviewed	DNA topoisomerase 2-beta (EC 5.99.1.3) (DNA topoisomerase II, beta isozyme)	TOP2B	Homo sapiens (Human)	1626
TPIS_HUMAN	P60174	TPIS_HUMAN	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	TPI1 TPI	Homo sapiens (Human)	286
TRA2A_HUMAN	Q13595	TRA2A_HUMAN	reviewed	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	TRA2A	Homo sapiens (Human)	282
TRA2B_HUMAN	P62995	TRA2B_HUMAN	reviewed	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)	288
TRI25_HUMAN	Q14258	TRI25_HUMAN	reviewed	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	TRIM25 EFP RNF147 ZNF147	Homo sapiens (Human)	630
TIF1B_HUMAN	Q13263	TIF1B_HUMAN	reviewed	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	835
